Date,IDRA,GILD
2008-08-20,14.26,25.975390341319
2008-08-21,14.15,25.751874532817
2008-08-22,14.23,25.827965020818
2008-08-25,13.64,25.304842915811
2008-08-26,14.75,25.628227489815
2008-08-27,14.35,25.561648312814
2008-08-28,14.58,25.304842915811
2008-08-29,14.62,25.052793174308
2008-09-02,14.24,23.911435854294
2008-09-03,14.19,24.4345579593
2008-09-04,13.75,23.768766189292
2008-09-05,13.66,22.75581156778
2008-09-08,13.93,22.384870438775
2008-09-09,13.55,22.204155529773
2008-09-10,13.79,22.265979051274
2008-09-11,13.86,23.321734572287
2008-09-12,13.68,22.884214266281
2008-09-15,13.47,22.74630025678
2008-09-16,14.15,23.697431356791
2008-09-17,13.38,22.318291261774
2008-09-18,14.0,22.432426993776
2008-09-19,14.5,22.094775453272
2008-09-22,14.1,21.262535740761
2008-09-23,14.29,21.253024429761
2008-09-24,13.95,22.204155529773
2008-09-25,14.35,22.375359127775
2008-09-26,14.39,23.131508352284
2008-09-29,13.84,20.183001942248
2008-09-30,14.07,21.700056046767
2008-10-01,13.39,21.543119415265
2008-10-02,13.33,21.253024429761
2008-10-03,13.2,21.757123912768
2008-10-06,12.81,19.916685234245
2008-10-07,12.0,19.303205674737
2008-10-08,11.07,19.53147713874
2008-10-09,9.17,19.041644622234
2008-10-10,10.06,17.819441158719
2008-10-13,10.5,20.282870707749
2008-10-14,10.79,19.651557440117
2008-10-15,9.82,18.204649254224
2008-10-16,10.56,19.683658114742
2008-10-17,10.22,20.463585616752
2008-10-20,11.19,22.109042419772
2008-10-21,10.84,21.885526611269
2008-10-22,10.64,22.099531108772
2008-10-23,10.49,21.623965558766
2008-10-24,9.65,20.601499626253
2008-10-27,8.5,20.163979320248
2008-10-28,9.22,21.291069673762
2008-10-29,9.59,21.704811702267
2008-10-30,9.55,22.213666840773
2008-10-31,9.72,21.804680467768
2008-11-03,9.62,22.499006170777
2008-11-04,9.45,22.384870438775
2008-11-05,8.52,21.409961061263
2008-11-06,8.41,21.091332142759
2008-11-07,8.58,21.419472372263
2008-11-10,8.25,21.324359262262
2008-11-11,8.25,20.991463377258
2008-11-12,7.93,21.13888869776
2008-11-13,8.63,22.494250515277
2008-11-14,8.01,22.313535606274
2008-11-17,7.75,21.833214400768
2008-11-18,7.67,21.505074171264
2008-11-19,7.19,20.544431760253
2008-11-20,6.59,19.750237291743
2008-11-21,6.5,19.716947703242
2008-11-24,6.35,20.32091595175
2008-11-25,5.99,20.991463377258
2008-11-26,6.8,21.424228027763
2008-11-28,7.03,21.300580984762
2008-12-01,5.91,20.192513253248
2008-12-02,6.55,20.967685099758
2008-12-03,6.83,21.95686144377
2008-12-04,7.02,21.662010802766
2008-12-05,7.5,22.537051414777
2008-12-08,8.01,22.194644218773
2008-12-09,8.4,21.319603606762
2008-12-10,8.49,21.685789080267
2008-12-11,7.95,20.958173788758
2008-12-12,8.45,21.414716716763
2008-12-15,8.48,21.091332142759
2008-12-16,8.7,22.76532287878
2008-12-17,8.35,22.660698457779
2008-12-18,8.65,23.198087529285
2008-12-19,8.28,23.61182955779
2008-12-22,7.67,23.920947165294
2008-12-23,7.48,23.778277500292
2008-12-24,7.55,23.997037653295
2008-12-26,7.68,23.783033155792
2008-12-29,7.51,23.725965289792
2008-12-30,7.66,24.4107796818
2008-12-31,7.68,24.320422227299
2009-01-02,8.03,24.815010399305
2009-01-05,8.61,24.253843050298
2009-01-06,8.6,23.60231824679
2009-01-07,8.74,23.169553596285
